autogrades,score
9,68
6,66
8,96
13,99
4,86
3,72
6,80
8,96
9,69
9,64
9,79
6,66
3,55
3,65
9,71
5,66
11,87
4,81
7,88
12,84
4,61
6,85
10,76
7,66
8,95
10,68
3,73
10,85
12,76
11,83
9,72
7,84
8,65
6,96
4,53
12,95
8,86
6,65
10,85
5,77
7,87
6,86
4,80
5,98
7,69
8,75
8,69
3,47
7,47
6,74
8,71
3,72
11,78
6,51
2,65
6,81
6,100
10,82
6,53
10,91
4,72
11,62
9,93
7,92
8,82
11,95
11,85
11,72
8,92
5,70
11,73
5,92
10,78
9,94
8,69
10,95
9,89
8,89
4,70
6,73
8,76
13,95
10,65
11,66
12,92
9,69
11,68
12,90
12,91
6,100
8,85
6,95
10,77
5,81
11,94
6,99
2,67
8,65
4,72
10,70
10,95
2,47
10,67
7,81
7,77
6,86
11,94
6,59
11,98
8,85
9,57
13,93
6,71
9,54
7,98
8,59
9,87
12,90
12,80
7,91
1,48
9,73
8,79
12,89
6,99
7,87
8,74
6,98
10,73
8,67
13,100
5,83
10,84
4,85
7,75
3,55
3,47
6,90
4,89
7,56
11,90
3,68
9,84
1,57
6,62
5,78
6,85
5,85
2,55
12,89
9,56
8,85
2,70
10,92
6,77
9,72
4,87
6,80
5,49
7,97
9,69
5,83
9,75
13,92
6,65
8,82
11,81
9,95
4,66
8,82
2,65
11,85
8,81
10,77
11,66
8,88
3,68
8,75
10,65
6,66
12,90
10,93
12,80
7,95
9,73
6,73
10,73
7,89
8,81
8,79
4,74
6,59
13,93
8,76
6,96
6,61
6,81
8,86
9,79
5,84
11,77
5,99
8,79
2,60
8,65
8,54
9,54
7,50
9,88
8,80
7,53
9,71
10,74
10,65
9,90
8,71
7,61
10,74
5,72
8,99
11,68
9,85
12,90
3,69
4,80
5,69
12,85
5,94
5,92
3,66
7,79
4,90
7,89
7,95
7,80
8,55
2,73
10,80
13,100
9,99
1,51
7,82
13,92
8,78
8,88
1,47
4,88
6,99
10,72
2,48
6,97
6,79
7,73
13,92
1,55
10,89
2,55
7,90
5,94
10,68
7,100
7,50
5,92
11,82
11,84
12,88
9,88
6,49
3,68
11,87
13,92
6,67
6,82
6,78
5,96
9,73
12,85
13,99
7,65
6,76
2,65
8,92
7,53
5,89
9,46
9,80
7,87
7,81
4,62
13,96
4,79
12,87
12,84
11,61
12,77
8,89
8,85
5,98
5,79
6,67
7,98
8,67
10,77
5,95
12,79
9,79
11,98
12,77
11,80
7,99
10,84
12,96
6,79
11,78
12,81
4,85
4,56
5,48
4,87
4,67
4,88
5,83
5,94
4,70
5,90
9,95
5,95
9,60
9,90
8,62
5,97
6,96
5,84
2,69
10,91
5,84
9,95
2,68
5,70
7,92
8,98
3,54
4,65
5,72
6,69
7,89
8,68
11,98
11,69
11,74
4,78
6,88
3,71
11,96
7,95
11,78
7,72
2,70
11,97
11,97
2,71
7,92
11,68
12,100
9,99
10,66
4,82
9,89
7,84
2,56
10,97
12,83
3,71
6,97
10,83
4,90
7,70
8,99
3,55
2,45
4,68
8,88
7,89
10,94
7,78
12,77
5,58
11,85
3,69
4,68
3,75
9,81
