score
56
99
82
91
52
72
90
100
48
88
48
94
48
51
100
100
88
61
80
79
100
60
55
43
62
34
76
50
79
86
74
66
90
48
80
72
80
87
99
63
100
100
86
100
81
69
53
94
41
36
83
71
99
100
86
82
90
81
57
96
90
96
82
60
64
82
74
54
87
70
48
100
74
97
100
100
95
89
81
93
93
64
100
100
61
97
58
62
82
41
84
65
74
95
100
29
100
65
43
41
59
77
60
73
74
81
100
79
77
34
72
79
100
91
60
100
90
82
92
96
52
87
88
75
75
90
84
94
81
64
100
88
75
73
