autogrades,score
3,60
13,93
11,100
8,100
6,63
13,97
11,92
13,91
10,100
4,39
8,79
4,32
10,100
9,79
12,96
8,61
5,66
6,81
13,96
8,94
5,64
2,73
12,100
9,37
6,63
2,65
11,100
5,66
10,69
6,97
11,85
9,60
11,100
2,25
2,71
6,83
7,63
12,100
5,54
2,75
9,98
7,69
5,100
4,70
12,82
12,94
3,56
8,63
9,88
6,100
10,68
6,78
1,43
13,100
5,67
3,48
10,91
3,40
6,90
6,48
1,53
6,94
6,96
11,76
2,71
7,100
2,38
10,89
6,91
4,82
6,100
6,95
3,56
10,70
2,30
11,91
11,76
6,97
4,61
10,100
10,90
12,96
2,70
12,81
6,37
10,100
3,31
1,39
7,82
5,94
4,32
5,60
7,34
9,100
12,100
5,84
9,86
4,86
11,100
12,100
8,81
9,91
11,91
2,63
5,78
3,44
7,97
5,80
4,48
6,75
8,78
8,100
8,100
9,56
4,34
4,67
13,100
5,30
10,65
6,6
7,72
5,85
8,61
5,81
6,100
11,85
10,80
2,56
10,99
7,69
2,67
4,51
3,53
11,93
3,53
9,93
6,54
6,99
7,84
6,51
4,50
6,99
6,8
11,82
8,97
11,86
12,80
13,91
9,60
6,68
3,64
3,28
2,32
10,62
6,73
9,100
6,99
10,81
9,71
8,79
2,65
8,63
10,100
12,80
8,45
7,20
6,20
10,94
8,82
9,100
10,84
9,64
13,100
10,100
8,99
2,45
8,80
10,99
11,94
10,100
6,73
12,100
11,71
7,47
3,47
5,62
6,54
12,99
6,45
11,88
3,46
2,61
10,85
5,61
11,79
7,100
5,70
6,98
12,96
4,30
7,93
10,69
6,50
12,86
2,62
10,100
7,100
8,85
7,74
10,98
7,52
2,74
5,55
7,50
5,80
2,66
1,53
7,86
5,48
6,92
11,91
5,47
9,96
9,77
6,78
4,86
11,97
5,65
6,50
10,73
7,57
11,63
3,37
5,100
8,100
11,63
9,35
7,29
6,64
11,80
6,92
4,84
12,100
13,94
8,59
11,94
9,71
9,90
7,72
3,66
8,90
9,85
6,90
8,100
10,100
5,56
7,87
2,29
8,75
6,100
5,100
3,44
12,100
11,68
6,54
1,19
11,94
12,81
5,100
10,92
9,68
4,82
8,100
12,84
9,100
6,74
5,73
7,66
4,77
8,97
7,75
12,86
13,92
11,79
7,100
11,76
12,81
1,41
6,92
9,70
2,59
9,46
7,73
12,100
8,83
1,52
5,54
10,94
8,78
7,44
9,47
9,85
9,72
12,100
9,67
6,88
9,100
9,39
6,84
7,53
13,100
12,100
4,64
10,75
7,88
7,100
6,77
5,57
10,100
10,81
9,100
8,37
11,70
11,89
8,35
7,100
3,28
5,100
11,63
4,73
4,39
11,100
7,83
7,100
6,73
9,24
2,52
11,85
5,100
7,71
2,72
10,100
10,72
7,79
9,88
6,100
5,100
7,91
12,84
5,35
6,81
2,49
7,88
11,84
10,100
8,100
7,81
6,72
10,68
9,86
5,73
5,100
10,62
4,80
9,80
6,97
7,45
10,65
3,62
4,86
9,62
4,28
8,99
6,100
2,70
8,97
2,75
5,100
6,78
6,53
9,62
9,98
8,84
7,100
4,62
10,100
10,77
1,56
13,100
9,69
9,55
7,65
3,58
8,71
7,58
9,44
4,80
11,69
12,87
12,94
6,81
6,18
5,100
4,71
9,33
10,89
5,93
11,61
7,54
10,80
4,42
12,100
6,18
13,100
7,92
10,74
3,71
11,72
12,94
10,76
12,100
8,86
3,50
5,100
10,67
8,100
10,72
9,100
7,81
5,48
6,83
5,62
8,100
6,100
6,100
11,100
10,95
8,82
7,39
9,100
6,56
6,75
5,82
11,82
12,83
2,45
12,88
9,91
13,100
7,77
11,99
7,100
6,69
12,100
7,95
8,73
