autogrades,score
6,55
6,63
6,46
8,34
3,36
12,100
7,100
5,93
12,87
1,23
11,70
9,46
6,100
9,81
4,44
12,90
3,52
11,61
7,29
4,63
9,87
4,81
10,81
7,100
9,82
11,66
8,50
8,100
8,62
9,99
7,76
5,70
3,45
5,75
5,12
5,100
3,73
4,59
6,82
5,3
7,82
12,76
4,56
1,4
4,54
6,46
12,100
5,59
11,73
7,91
6,49
9,93
11,63
4,71
4,78
7,45
7,77
3,34
7,48
9,66
11,80
7,53
9,-1
11,76
12,84
11,66
2,61
8,40
6,61
6,98
11,73
3,56
11,64
8,86
9,29
1,60
4,56
2,69
10,98
11,87
13,100
2,72
12,100
6,39
2,56
4,72
9,46
9,26
5,70
2,56
13,100
6,-9
8,81
9,100
8,100
5,84
8,46
9,76
6,92
8,80
8,-4
9,56
9,90
7,91
11,66
11,74
7,22
9,100
7,66
5,100
9,86
4,30
11,85
