score
87
91
52
87
66
102
63
96
77
94
68
97
100
77
74
88
102
78
92
89
72
93
90
82
90
98
75
86
84
96
98
81
93
65
64
97
91
98
103
93
56
98
95
83
76
81
87
63
82
99
59
57
88
85
69
74
72
100
90
70
61
89
96
75
90
95
90
92
86
68
81
85
44
95
68
96
85
62
56
74
86
70
56
69
69
92
90
69
58
86
78
86
97
87
74
74
56
81
78
64
82
78
92
83
94
83
70
87
99
71
57
82
87
91
97
89
77
98
88
84
87
70
83
68
88
78
75
68
59
92
94
90
73
81
84
84
77
86
62
81
53
66
83
91
72
93
70
80
70
78
57
99
90
70
87
91
93
64
74
52
86
80
69
52
72
97
79
75
83
91
86
74
71
81
54
85
60
88
93
79
60
100
87
74
72
98
97
81
79
88
95
74
86
81
84
91
86
90
86
77
75
96
70
87
94
83
74
88
95
68
77
73
77
93
78
93
99
47
99
104
84
79
79
59
79
75
68
84
79
98
86
70
89
93
91
89
90
84
77
67
87
90
72
78
89
97
79
53
67
84
85
87
74
86
88
97
88
83
85
92
102
91
89
87
88
80
74
101
80
82
97
97
77
84
92
91
80
79
87
74
87
103
80
67
101
82
89
58
63
77
101
75
80
85
98
76
55
94
77
88
75
62
88
88
77
66
69
83
85
76
66
90
76
90
57
70
104
98
79
77
75
94
91
73
84
90
89
74
75
51
104
97
81
81
81
99
68
93
66
100
94
72
83
76
79
77
83
69
78
61
85
99
86
80
85
83
75
69
98
77
79
78
79
59
86
89
82
83
52
101
60
90
92
88
85
93
92
74
72
82
65
75
68
70
49
93
45
98
90
81
94
95
87
71
93
96
83
94
64
75
70
91
80
77
74
101
74
83
72
84
83
76
67
95
76
66
59
99
79
