score
64
100
100
94
36
76
100
100
76
51
100
35
43
36
83
82
100
86
43
79
97
97
87
88
100
76
100
46
91
100
96
82
100
68
100
100
89
84
91
91
87
92
72
45
92
100
74
100
35
63
100
93
79
76
64
77
62
46
41
61
98
59
100
78
15
77
68
65
88
100
88
28
76
86
69
100
44
82
63
100
93
94
72
80
64
76
100
70
68
68
40
60
100
67
100
100
100
45
98
96
87
71
65
87
92
35
78
98
87
100
80
75
83
81
67
95
100
81
84
77
100
92
86
98
75
98
72
44
76
100
31
85
20
43
100
