autogrades,score
6,55
13,93
11,100
8,82
11,63
7,80
9,96
11,100
13,91
9,53
8,79
11,73
9,79
8,61
5,93
9,68
8,94
6,85
11,95
6,76
8,13
12,100
9,76
10,69
11,100
2,71
7,63
10,100
6,70
8,77
6,78
4,53
5,67
9,100
6,60
11,76
2,71
8,36
7,100
2,38
4,82
6,100
2,30
10,100
7,83
2,70
6,37
4,19
9,51
11,89
4,32
5,60
7,34
6,100
8,81
11,100
2,63
4,48
4,44
7,74
5,97
12,90
6,62
11,74
7,74
5,65
4,90
4,67
13,100
2,73
6,6
4,73
8,61
11,85
6,47
11,82
7,83
9,100
2,67
4,63
4,51
3,53
1,37
12,84
6,99
5,61
11,63
13,93
12,100
10,100
11,82
2,68
8,97
11,86
6,73
8,99
9,91
8,63
8,62
4,89
11,95
3,45
6,20
10,77
10,84
9,78
13,100
7,47
10,100
8,85
5,57
12,100
12,82
12,84
8,83
1,33
10,100
4,85
11,88
2,61
9,58
9,78
4,89
12,96
4,86
7,93
5,54
7,36
9,65
1,53
5,48
6,99
7,64
6,78
6,97
5,3
5,100
12,77
11,63
8,100
1,44
11,88
7,36
5,70
9,70
8,59
9,85
7,87
2,72
10,88
7,83
11,68
12,89
10,92
4,54
7,52
9,76
12,86
2,61
11,76
1,41
11,73
5,94
7,96
2,69
9,46
8,83
5,86
9,47
12,100
5,21
8,51
7,45
6,84
11,67
8,92
7,100
10,86
6,63
8,37
11,70
7,77
11,89
12,100
2,39
5,100
4,26
7,71
6,75
7,83
5,35
6,67
10,100
13,100
7,57
8,16
13,94
1,59
7,81
7,54
10,75
10,65
11,98
7,53
9,62
9,-1
3,42
10,61
8,73
4,83
12,81
3,58
9,44
10,78
11,61
10,80
11,65
5,43
4,42
6,100
5,55
10,85
10,74
3,71
11,72
11,73
12,94
10,76
8,86
3,50
10,88
5,100
2,73
6,100
6,83
5,15
9,42
10,100
11,100
10,95
5,42
13,100
11,82
2,45
9,91
4,69
5,87
7,77
2,21
5,22
3,65
9,100
6,65
12,90
6,18
5,100
10,100
12,82
9,100
10,80
3,75
6,31
12,100
4,90
3,51
5,100
13,100
11,84
8,30
9,80
13,100
2,72
7,79
4,69
8,100
4,67
6,80
11,63
6,91
4,72
4,76
11,77
7,59
8,76
7,1
10,79
7,45
7,82
2,56
7,94
7,100
6,64
7,66
11,99
8,48
7,94
8,34
7,93
7,88
13,100
11,100
11,82
3,54
5,58
8,73
6,100
3,51
9,82
11,79
6,61
3,44
8,97
5,100
7,86
7,6
2,69
2,70
1,45
12,92
6,93
13,91
8,85
9,93
5,84
7,61
13,100
7,96
7,-11
7,56
9,53
5,100
5,89
10,85
6,36
1,57
5,41
12,99
7,10
6,97
7,77
5,73
9,56
7,66
7,78
9,52
6,100
7,43
7,76
6,81
7,91
5,84
11,66
3,48
7,79
3,69
9,49
8,48
9,71
10,96
9,82
8,22
6,100
3,43
8,100
9,88
6,76
9,100
3,58
8,100
4,29
12,100
8,86
8,7
7,81
6,75
12,100
12,83
12,84
1,17
3,23
2,31
10,70
5,63
10,100
1,32
6,84
2,23
3,25
3,16
1,58
4,80
6,50
