potds,score
56,24
118,89
53,70
42,94
11,86
71,67
77,88
78,47
7,75
27,99
61,60
95,69
37,93
77,59
49,51
32,51
85,30
72,100
109,65
93,32
21,63
47,77
88,55
87,100
